replicate	total_tree_length	time_to_mrca	num_mutations	theta_estimate	nucleotide_diversity
1	15381.228927	4755.517074	0	0.0	0.0
2	59275.073636	24427.906739	1	0.000282	0.000395
3	57426.346897	22757.815878	0	0.0	0.0
4	25496.058053	10788.95319	0	0.0	0.0
5	41368.221415	14476.499517	0	0.0	0.0
6	61371.385761	25193.26873	0	0.0	0.0
7	54329.147611	19081.204044	1	0.000282	0.000442
8	56562.27661	20686.098209	0	0.0	0.0
9	14894.485338	5618.475282	0	0.0	0.0
10	13540.503008	5269.666025	0	0.0	0.0
11	27146.532008	12453.190838	1	0.000282	0.000521
12	50330.528751	20583.398517	0	0.0	0.0
13	41572.390607	20252.071024	0	0.0	0.0
14	75282.075957	34431.671965	0	0.0	0.0
15	14845.340454	6868.208401	0	0.0	0.0
16	50695.9284	19917.339845	2	0.000564	0.001011
17	89058.742438	42853.032206	1	0.000282	0.000189
18	75122.692234	33583.015132	1	0.000282	0.000521
19	34563.643316	15051.864932	0	0.0	0.0
20	72544.429678	33105.362966	1	0.000282	0.0001
21	22734.577003	10820.018708	1	0.000282	0.000268
22	21156.864323	10048.476259	0	0.0	0.0
23	8560.788488	2937.687999	0	0.0	0.0
24	36498.875714	15228.181906	0	0.0	0.0
25	30465.762338	11190.467405	0	0.0	0.0
26	16810.288058	5738.551791	0	0.0	0.0
27	64872.879425	26469.405885	3	0.000846	0.001142
28	28067.350013	12667.288402	0	0.0	0.0
29	48938.685072	23217.200938	0	0.0	0.0
30	1286.510181	98.753883	0	0.0	0.0
31	59947.277837	29414.234589	0	0.0	0.0
32	24729.379637	8524.917826	0	0.0	0.0
33	36674.286507	17212.67123	0	0.0	0.0
34	7470.58355	3199.374112	0	0.0	0.0
35	25163.926076	9707.105118	0	0.0	0.0
36	37586.846078	16522.937012	0	0.0	0.0
37	46455.946645	21024.01288	0	0.0	0.0
38	32538.563061	9309.505546	1	0.000282	0.0001
39	32638.766845	12831.727257	1	0.000282	0.0001
40	32152.676306	10575.038965	0	0.0	0.0
41	8084.691286	3477.453384	0	0.0	0.0
42	36005.992222	10159.280435	2	0.000564	0.000711
43	36455.749487	14318.570732	0	0.0	0.0
44	29227.261157	13116.135341	0	0.0	0.0
45	1243.824263	98.21694	0	0.0	0.0
46	31115.376334	14984.344548	1	0.000282	0.0001
47	61704.071922	20839.741327	1	0.000282	0.0001
48	82721.308792	36433.792289	0	0.0	0.0
49	31621.615226	12576.101706	1	0.000282	0.000337
50	52474.785236	21852.704013	1	0.000282	0.000479
51	49296.125289	22078.325141	0	0.0	0.0
52	12342.532666	4937.032541	0	0.0	0.0
53	36104.230619	15392.149518	1	0.000282	0.000337
54	40631.502511	17380.528678	1	0.000282	0.000189
55	9759.529595	3070.879828	0	0.0	0.0
56	48165.128301	20282.4029	1	0.000282	0.000526
57	18433.153624	7258.910849	0	0.0	0.0
58	27956.856367	7122.744483	3	0.000846	0.000537
59	42275.590353	18326.996663	0	0.0	0.0
60	28456.423597	9976.581092	2	0.000564	0.000711
61	52801.923891	21552.359094	0	0.0	0.0
62	11257.456094	4298.070191	0	0.0	0.0
63	9934.992759	4192.849786	0	0.0	0.0
64	16978.662419	8028.43521	0	0.0	0.0
65	12646.774984	4224.42112	0	0.0	0.0
66	64562.362601	27286.171215	0	0.0	0.0
67	19712.941532	7034.643446	0	0.0	0.0
68	20218.157537	8641.395405	0	0.0	0.0
69	48601.612663	20617.77406	0	0.0	0.0
70	26002.054325	6396.173659	1	0.000282	0.000479
71	94419.837981	46511.282136	2	0.000564	0.000537
72	16975.931735	6786.833667	0	0.0	0.0
73	40956.346996	15514.83081	0	0.0	0.0
74	26954.353589	9208.507232	0	0.0	0.0
75	52610.507582	25168.174614	1	0.000282	0.000521
76	5617.926273	2266.329498	0	0.0	0.0
77	7764.042112	3296.857676	0	0.0	0.0
78	98560.980171	43883.502861	1	0.000282	0.000395
79	9256.581856	3402.304371	0	0.0	0.0
80	38256.802823	16167.159553	0	0.0	0.0
81	37986.027525	13294.119993	0	0.0	0.0
82	30665.989398	13266.87056	0	0.0	0.0
83	58737.030072	22971.082786	0	0.0	0.0
84	11030.446593	3888.09379	0	0.0	0.0
85	11439.686693	4434.322548	0	0.0	0.0
86	37905.04314	14343.389855	0	0.0	0.0
87	62390.023423	30304.886182	0	0.0	0.0
88	35543.512627	15821.1724	0	0.0	0.0
89	38782.86314	17349.559724	1	0.000282	0.000337
90	8923.832851	3139.229383	0	0.0	0.0
91	47168.910034	18017.710166	1	0.000282	0.000505
92	32422.663292	9722.912041	0	0.0	0.0
93	13514.085467	3338.48414	0	0.0	0.0
94	46001.267234	20455.496094	0	0.0	0.0
95	17397.954162	6717.718668	0	0.0	0.0
96	10426.272381	3125.544402	0	0.0	0.0
97	40978.490184	16147.379777	1	0.000282	0.000442
98	56706.2528	20057.823061	0	0.0	0.0
99	8799.491144	2611.433633	0	0.0	0.0
100	41453.574666	16691.664902	0	0.0	0.0
