clade	ancestry1	ancestry2	ancestry3	ancestry4	ancestry5
**Basenji	0.48	0.0	0.52	0.0	0.0
**Eurasier	0.1	0.13	0.56	0.16	0.05
**Finish Spitz	0.41	0.18	0.22	0.11	0.09
**Samoyed	0.31	0.24	0.28	0.14	0.02
**Tibetan Terrier	0.49	0.06	0.2	0.16	0.08
Alpine	0.4	0.32	0.06	0.13	0.09
American Terrier	0.31	0.25	0.1	0.19	0.14
American Toy	0.45	0.18	0.13	0.13	0.11
Asian Spitz	0.09	0.06	0.67	0.14	0.04
Asian Toy	0.48	0.06	0.32	0.07	0.07
Continental Herder	0.38	0.25	0.05	0.15	0.17
Drover	0.45	0.27	0.05	0.16	0.06
European Mastiff	0.13	0.31	0.03	0.49	0.03
Golden Jackal	0.07	0.35	0.55	0.0	0.04
Hungarian	0.46	0.14	0.14	0.13	0.13
Mediterranean	0.46	0.22	0.17	0.11	0.04
New World	0.39	0.29	0.09	0.12	0.11
Nordic Spitz	0.39	0.24	0.14	0.1	0.14
Pinscher	0.39	0.16	0.09	0.24	0.12
Pointer Setter	0.59	0.15	0.03	0.16	0.06
Poodle	0.59	0.11	0.08	0.09	0.13
Retriever	0.45	0.27	0.03	0.2	0.05
Scent Hound	0.6	0.19	0.03	0.13	0.04
Schnauzer	0.38	0.21	0.09	0.11	0.21
Small Spitz	0.42	0.26	0.11	0.1	0.11
Spaniel	0.66	0.04	0.03	0.21	0.06
Terrier	0.23	0.19	0.06	0.26	0.25
Toy Spitz	0.43	0.24	0.1	0.07	0.18
UK Rural	0.22	0.53	0.06	0.13	0.05
Wolf	0.2	0.15	0.53	0.11	0.01
